adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id
False,2,1456058,Directing,P.J.C. Janssen,P.J.C. Janssen,0.185,/p6zHOkeevM8ckXOcWfNQxJqOE93.jpg,55325dc09251417ae30009c3,Directing,Director,315946
False,2,5014145,Directing,Francisco Antônio de Almeida Júnior,Francisco Antônio de Almeida Júnior,0.001,/tSL3Bs4o7EQp0TNqUlqtywNcSY1.jpg,6716c0ef7dc7c6f27d510968,Directing,Director,315946
False,2,935707,Directing,Émile Reynaud,Émile Reynaud,2.041,/v1QpXCDrSvW1qbLU7saTPxvaa4y.jpg,5fb64d3ef29d66003e33a46a,Directing,Director,766094
False,2,935707,Directing,Émile Reynaud,Émile Reynaud,2.041,/v1QpXCDrSvW1qbLU7saTPxvaa4y.jpg,5f7f2747d55c3d0037ef59ef,Directing,Director,751212
False,2,1135153,Directing,Étienne-Jules Marey,Étienne-Jules Marey,1.245,/nWH58eRKP3wQj3c0wgFHcazo4fK.jpg,5c77d51f92514112a766a092,Directing,Director,585297
False,2,569209,Directing,Louis Aimé Augustin Le Prince,Louis Aimé Augustin Le Prince,2.116,/h9m1UrMeeJRor9fxBtawCcW0Atv.jpg,52fe4c239251416c910f132b,Directing,Director,159897
False,2,569209,Directing,Louis Aimé Augustin Le Prince,Louis Aimé Augustin Le Prince,2.116,/h9m1UrMeeJRor9fxBtawCcW0Atv.jpg,675af7895c42a8c6ed8d06b5,Directing,Director,16463
False,2,569209,Directing,Louis Aimé Augustin Le Prince,Louis Aimé Augustin Le Prince,2.116,/h9m1UrMeeJRor9fxBtawCcW0Atv.jpg,52fe49c39251416c750d2a8b,Directing,Director,96882
False,2,569209,Directing,Louis Aimé Augustin Le Prince,Louis Aimé Augustin Le Prince,2.116,/h9m1UrMeeJRor9fxBtawCcW0Atv.jpg,52fe46d69251416c75085367,Directing,Director,16464
False,0,1454252,Directing,Ottomar Anschütz,Ottomar Anschütz,0.001,,552d7110c3a3687941003603,Directing,Director,335765
False,2,1058108,Directing,William Friese-Greene,William Friese-Greene,0.29,/mRj8woErs6OyDydgdGneUV4kHAb.jpg,55db36cdc3a3683207007791,Directing,Director,355995
False,2,1058108,Directing,William Friese-Greene,William Friese-Greene,0.29,/mRj8woErs6OyDydgdGneUV4kHAb.jpg,52fe44d19251416c9101dce1,Directing,Director,32406
False,2,1058108,Directing,William Friese-Greene,William Friese-Greene,0.29,/mRj8woErs6OyDydgdGneUV4kHAb.jpg,55d93d6dc3a3683207003847,Directing,Director,355764
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,52fe44d99251416c9101efa5,Directing,Director,32571
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,52fe44d99251416c9101ef9f,Directing,Director,32571
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,52fe450c9251416c91025b0b,Directing,Director,33315
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,54c3c873925141618500178d,Directing,Director,33315
False,0,110461,Directing,William Carr Crofts,William Carr Crofts,0.001,,52fe450c9251416c91025b17,Directing,Director,33316
False,0,110462,Directing,Woodsworth Donisthorpe,Woodsworth Donisthorpe,0.001,,52fe450c9251416c91025b1d,Directing,Director,33316
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,52fe450c9251416c91025b2f,Directing,Director,33317
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,54c3c90c9251416eae00eadb,Directing,Director,33317
False,0,1742726,Directing,Lucien Georges Bull,Lucien Georges Bull,0.001,,663e73c7e3f0617a511060ce,Directing,Director,386743
False,2,1058108,Directing,William Friese-Greene,William Friese-Greene,0.29,/mRj8woErs6OyDydgdGneUV4kHAb.jpg,55d9e4a692514143e9004df8,Directing,Director,355846
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,52fe45069251416c91024e8f,Directing,Director,33229
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,54c3d11b9251412489005fd8,Directing,Director,33229
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,54c3d25bc3a36878d00062c5,Directing,Director,33318
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,54c3d24ec3a368789b0062cc,Directing,Director,33318
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,52fe4a3ec3a36847f81c32af,Directing,Director,104852
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,601a217860620a00423b082b,Directing,Director,104852
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,55db3a339251417d7c001117,Directing,Director,355999
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,55db3a4092514143f0007851,Directing,Director,355999
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,55db3906c3a36831f6007af4,Directing,Director,355997
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,55db391692514143e600770a,Directing,Director,355997
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,55d9e87dc3a36831fa0051fb,Directing,Director,355851
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,55d9e88bc3a368166f000313,Directing,Director,355851
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,55d9e63292514143de005368,Directing,Director,355848
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,55d9e640c3a36831fa005196,Directing,Director,355848
False,0,1456070,Directing,Georges Demenÿ,Georges Demenÿ,0.001,/p6r98PNG1OTsKL5qtpqSqE6CQcv.jpg,553266b092514109210002e5,Directing,Director,336380
False,2,1135153,Directing,Étienne-Jules Marey,Étienne-Jules Marey,1.245,/nWH58eRKP3wQj3c0wgFHcazo4fK.jpg,5492f9e3c3a3683d04001ab1,Directing,Director,312452
False,2,1135153,Directing,Étienne-Jules Marey,Étienne-Jules Marey,1.245,/nWH58eRKP3wQj3c0wgFHcazo4fK.jpg,5a54f61e0e0a2607ce0124cb,Directing,Director,416258
False,2,935707,Directing,Émile Reynaud,Émile Reynaud,2.041,/v1QpXCDrSvW1qbLU7saTPxvaa4y.jpg,52fe49e69251416c910bc797,Directing,Director,88013
False,2,935707,Directing,Émile Reynaud,Émile Reynaud,2.041,/v1QpXCDrSvW1qbLU7saTPxvaa4y.jpg,52fe46e19251416c750868d3,Directing,Director,16622
False,2,935707,Directing,Émile Reynaud,Émile Reynaud,2.041,/v1QpXCDrSvW1qbLU7saTPxvaa4y.jpg,52fe46de9251416c75086315,Directing,Director,16613
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,609b41bde272600040b9e246,Directing,Director,105153
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,52fe4a48c3a36847f81c52b1,Directing,Director,105153
False,2,1868,Directing,Louis Lumière,Louis Lumière,2.319,/usTeyesaQunLYg4nCW4JEEsFY2B.jpg,55da8292c3a3680dd5005441,Directing,Director,355936
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,55d920fcc3a36831f60035d2,Directing,Director,355757
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,52fe46e19251416c750868df,Directing,Director,16624
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,609b4ec49ca75900585daee8,Directing,Director,16624
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,52fe4a48c3a36847f81c52d3,Directing,Director,105160
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,601a2823b02f5e003e5478a3,Directing,Director,105160
False,2,935707,Directing,Émile Reynaud,Émile Reynaud,2.041,/v1QpXCDrSvW1qbLU7saTPxvaa4y.jpg,52fe4c239251416c910f1321,Directing,Director,159896
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,52fe4b199251416c910cfd7f,Directing,Director,152218
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,52fe4b199251416c910cfd79,Directing,Director,152218
False,2,110347,Directing,William K.L. Dickson,William K.L. Dickson,1.999,/3gGlP15MqNKGrbDjlZQLqMpedcF.jpg,52fe4c249251416c910f137f,Directing,Director,159904
False,2,110348,Directing,William Heise,William Heise,0.802,/feynSkOiOKx0yOGZUp13AoTEwBt.jpg,52fe4c249251416c910f1385,Directing,Director,159904
